Дата,Поступление,Списание,Назначение платежа,Контрагент,Вид операции,Вх.номер,Вх.дата,Организация,Банковский счет,Комментарий
23.09.2020,439.98,,,"Товариство з обмеженою відповідальністю ""ВІТІС ГРУП""",Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
23.09.2020,8071.41,,,БЮРО ВИН,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
23.09.2020,2500.01,,,"Товариство з обмеженою відповідальністю ""ВАЙН ХАНТЕРС""",Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
24.09.2020,1360.03,,,Баррік,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
25.09.2020,2400.05,,,"ТОВ ""Гольда""",Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
25.09.2020,2840.2,,,Фізична особа-підприємець Мігашко  ,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
25.09.2020,900.0,,,Каля,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
25.09.2020,5419.99,,,Фізична особа-підприємець МІЗЕРА ЮЛІЯ АНАТОЛІЇВНА,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
28.09.2020,2418.0,,,"Товариство з обмеженою відповідальністю ""ТОРГОВИЙ ДІМ ""МЕДІАТРЕЙДІНГ""",Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
29.09.2020,5670.0,,,Лайк Локал,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,накл.379 12.08
29.09.2020,8100.0,,,Лайк Локал,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,накл.387 17.08
29.09.2020,5960.05,,,Фізична особа- підприємець Кузьменко Олександра Вікторівна,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,накл.№478 от 21.09.
30.09.2020,3630.58,,, Кучер Тетяна Тимофіївна (СироВина),Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
30.09.2020,3699.95,,,"Товариство з обмеженою відповідальністю ""Панна груп""",Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
30.09.2020,5610.01,,,ЗАЯЦЬ РОМАН ВОЛОДИМИРОВИЧ,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
30.09.2020,12739.08,,,БЮРО ВИН,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
30.09.2020,30000.0,,,"Філія ""ТОП-АЛКО"" Товариства з обмеженою відповідальністю ""ЕЛЛІПСІС""",Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
01.10.2020,810.01,,,Фізична особа-підприємець Чередниченко Олег Володимирович,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
01.10.2020,4900.0,,,КАРО ФУД,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
02.10.2020,4199.96,,,Вінсанто,Оплата от покупателя,,,Бейкуш Вайнери,Приватбанк,
